ISIN;Description;Ccy;Price;Issuer;Industry Sector;Maturity;Coupon;Rating;PD 1YR;Outstanding Amount;Callable;Next Call Date;Seniority;Coupon Frequency;Coupon Type;First Coupon Date;Penultimate Coupon Date;Issue date;Bid Price;Ask Price
XS0968972199;TELIAS 3 ½ 09/05/33;EUR;101.148;TELIA COMPANY AB;Communications;05/09/2033;3.5;BBB+;1.15493E-05;506000000;N;;Sr Unsecured;1;FIXED;05/09/2014;05/09/2032;05/09/2013;100.852;101.445
BE0002466416;ELIATB 3 04/07/29;EUR;100.778;ELIA TRANSMISSION BE;Utilities;07/04/2029;3;NR;0.008230541;350000000;N;;Sr Unsecured;1;FIXED;07/04/2015;07/04/2028;07/04/2014;100.62;100.937
XS1028954870;ITW 3 05/19/34;EUR;97.62833;ILLINOIS TOOL WORKS INC;Industrial;19/05/2034;3;A+;1.13905E-06;500000000;Y;19/02/2034;Sr Unsecured;1;FIXED;19/05/2015;19/05/2033;20/05/2014;97.399;97.858
XS1075995768;MCD 2 ⅝ 06/11/29;EUR;99.646;MCDONALD'S CORP;Consumer, Cyclical;11/06/2029;2.625;BBB+;4.53177E-07;400000000;N;;Sr Unsecured;1;FIXED;11/06/2015;11/06/2028;11/06/2014;99.486;99.806
XS1076018305;T 3 ⅜ 03/15/34;EUR;98.73593;AT&T INC;Communications;15/03/2034;3.375;BBB;0.000147481;500000000;Y;15/12/2033;Sr Unsecured;1;FIXED;15/03/2015;15/03/2033;11/06/2014;98.473;98.999
XS1115498260;ORAFP 5 PERP;EUR;102.1902;ORANGE SA;Communications;;5;BBB-;2.14239E-05;499998000;Y;01/10/2026;Jr Subordinated;1;VARIABLE;01/10/2015;;01/10/2014;101.894;102.486
XS1028941117;MRK 1 ⅞ 10/15/26;EUR;99.68211;MERCK & CO INC;Consumer, Non-cyclical;15/10/2026;1.875;A+;1.37989E-05;1000000000;Y;15/07/2026;Sr Unsecured;1;FIXED;15/10/2015;15/10/2025;15/10/2014;99.605;99.759
XS1028941893;MRK 2 ½ 10/15/34;EUR;94.259;MERCK & CO INC;Consumer, Non-cyclical;15/10/2034;2.5;A+;1.37989E-05;500000000;Y;15/07/2034;Sr Unsecured;1;FIXED;15/10/2015;15/10/2033;15/10/2014;93.991;94.528
XS1120892507;TELEFO 2.932 10/17/29;EUR;100.2717;TELEFONICA EMISIONES SAU;Communications;17/10/2029;2.932;BBB-;0.021357445;800000000;N;;Sr Unsecured;1;FIXED;17/10/2015;17/10/2028;17/10/2014;100.086;100.458
XS1134729794;NOVNVX 1 ⅝ 11/09/26;EUR;99.341;NOVARTIS FINANCE SA;Consumer, Non-cyclical;09/11/2026;1.625;AA-;1.31566E-06;600000000;N;;Sr Unsecured;1;FIXED;09/11/2015;09/11/2025;07/11/2014;99.247;99.434
XS1135337498;AAPL 1 ⅝ 11/10/26;EUR;99.365;APPLE INC;Technology;10/11/2026;1.625;AA+;1.07934E-06;1400000000;N;;Sr Unsecured;1;FIXED;10/11/2015;10/11/2025;10/11/2014;99.29;99.441
XS1136406342;MMM 1 ½ 11/09/26;EUR;99.086;3M COMPANY;Industrial;09/11/2026;1.5;BBB+;1.50941E-05;750000000;N;;Sr Unsecured;1;FIXED;09/11/2015;09/11/2025;12/11/2014;99.035;99.137
DE000A13SL34;SAPGR 1 ¾ 02/22/27;EUR;99.486;SAP SE;Technology;22/02/2027;1.75;A+;3.31915E-07;1000000000;Y;22/11/2026;Sr Unsecured;1;FIXED;22/02/2015;22/02/2026;20/11/2014;99.284;99.687
XS1143502901;CMCSA 2 ¾ 11/27/29;EUR;100.024;SKY LTD;Communications;27/11/2029;2.75;A-;0.000379551;400000000;N;;Sr Unsecured;1;FIXED;27/11/2015;27/11/2028;27/11/2014;99.804;100.243
XS1146286205;VZ 2 ⅝ 12/01/31;EUR;96.87341;VERIZON COMMUNICATIONS;Communications;01/12/2031;2.625;BBB+;0.000164108;1000000000;N;;Sr Unsecured;1;FIXED;01/12/2015;01/12/2030;01/12/2014;96.63;97.116
XS1144088165;T 2.6 12/17/29;EUR;98.82738;AT&T INC;Communications;17/12/2029;2.6;BBB;0.000147481;800000000;Y;17/09/2029;Sr Unsecured;1;FIXED;17/12/2015;17/12/2028;02/12/2014;98.659;98.996
XS1167667283;VW 1 ⅝ 01/16/30;EUR;94.43419;VOLKSWAGEN INTL FIN NV;Consumer, Cyclical;16/01/2030;1.625;BBB+;0.042120067;1000000000;N;;Sr Unsecured;1;FIXED;16/01/2016;16/01/2029;16/01/2015;94.228;94.64
XS1171485722;WELLTR 1 ⅛ 01/21/27;EUR;98.538;WELLCOME TRUST LTD/THE;Consumer, Non-cyclical;21/01/2027;1.125;AAA;0.006445107;400000000;N;;Sr Unsecured;1;FIXED;21/01/2016;21/01/2026;21/01/2015;98.42;98.655
XS1180130939;RABOBK 1 ⅜ 02/03/27;EUR;98.99123;COOPERATIEVE RABOBANK UA;Financial;03/02/2027;1.375;AA-;5.75847E-06;1500000000;N;;Sr Preferred;1;FIXED;03/02/2016;03/02/2026;03/02/2015;98.781;99.201
XS1186176571;HTHROW 1 ½ 02/11/30;EUR;93.655;HEATHROW FUNDING LTD;Industrial;11/02/2030;1.5;BBB+;0.024398591;750000000;Y;11/02/2026;1st lien;1;FIXED;11/02/2016;11/02/2029;11/02/2015;93.517;93.794
XS1193213953;TELIAS 1 ⅝ 02/23/35;EUR;85.71703;TELIA COMPANY AB;Communications;23/02/2035;1.625;BBB+;1.15493E-05;500000000;N;;Sr Unsecured;1;FIXED;23/02/2016;23/02/2034;23/02/2015;85.461;85.974
XS1191877452;ANVAU 1 ½ 02/26/27;EUR;98.516;AUSNET SERVICES HOLDINGS;Utilities;26/02/2027;1.5;BBB+;0.017362557;560000000;N;;Sr Unsecured;1;FIXED;26/02/2016;26/02/2026;26/02/2015;98.457;98.575
XS1196503137;BKNG 1.8 03/03/27;EUR;99.237;BOOKING HOLDINGS INC;Communications;03/03/2027;1.8;A-;6.00979E-06;1000000000;Y;03/12/2026;Sr Unsecured;1;FIXED;03/03/2016;03/03/2026;03/03/2015;99.146;99.328
XS1197270819;MDLZ 1 ⅝ 03/08/27;EUR;98.8791;MONDELEZ INTERNATIONAL;Consumer, Non-cyclical;08/03/2027;1.625;BBB;6.19362E-06;750000000;Y;08/12/2026;Sr Unsecured;1;FIXED;08/03/2016;08/03/2026;06/03/2015;98.766;98.992
XS1197273755;MDLZ 2 ⅜ 03/06/35;EUR;90.06995;MONDELEZ INTERNATIONAL;Consumer, Non-cyclical;06/03/2035;2.375;BBB;6.19362E-06;435377000;Y;06/12/2034;Sr Unsecured;1;FIXED;06/03/2016;06/03/2034;06/03/2015;89.787;90.353
XS1117298163;MCO 1 ¾ 03/09/27;EUR;99.185;MOODY'S CORPORATION;Consumer, Non-cyclical;09/03/2027;1.75;BBB+;2.0364E-06;500000000;Y;09/12/2026;Sr Unsecured;1;FIXED;09/03/2016;09/03/2026;09/03/2015;99.082;99.287
XS1196380031;T 2.45 03/15/35;EUR;90.636;AT&T INC;Communications;15/03/2035;2.45;BBB;0.000147481;1250000000;Y;15/12/2034;Sr Unsecured;1;FIXED;15/03/2016;15/03/2034;09/03/2015;90.357;90.915
XS1197833053;KO 1 ⅛ 03/09/27;EUR;98.37704;COCA-COLA CO/THE;Consumer, Non-cyclical;09/03/2027;1.125;A+;6.77015E-08;1500000000;Y;09/12/2026;Sr Unsecured;1;FIXED;09/03/2016;09/03/2026;09/03/2015;98.27;98.484
XS1197833137;KO 1 ⅝ 03/09/35;EUR;86.15892;COCA-COLA CO/THE;Consumer, Non-cyclical;09/03/2035;1.625;A+;6.77015E-08;1500000000;Y;09/12/2034;Sr Unsecured;1;FIXED;09/03/2016;09/03/2034;09/03/2015;85.921;86.397
XS1202213291;PPG 1.4 03/13/27;EUR;98.57;PPG INDUSTRIES INC;Basic Materials;13/03/2027;1.4;BBB+;0.000106428;600000000;Y;13/12/2026;Sr Unsecured;1;FIXED;13/03/2016;13/03/2026;13/03/2015;98.455;98.685
XS1204154410;ACAFP 2 ⅝ 03/17/27;EUR;100.0731;CREDIT AGRICOLE SA;Financial;17/03/2027;2.625;BBB+;0.000125365;2000000000;N;;Subordinated;1;FIXED;17/03/2016;17/03/2026;17/03/2015;99.977;100.169
XS1206411230;CCEP 1 ⅞ 03/18/30;EUR;95.978;COCA-COLA EUROPACIFIC;Consumer, Non-cyclical;18/03/2030;1.875;BBB+;5.8577E-06;500000000;Y;18/12/2029;Sr Unsecured;1;FIXED;18/03/2016;18/03/2029;18/03/2015;95.816;96.139
XS1205616698;APAAU 2 03/22/27;EUR;99.25;APA INFRASTRUCTURE LTD;Utilities;22/03/2027;2;BBB;0.025590344;650000000;N;;Sr Unsecured;1;FIXED;22/03/2016;22/03/2026;20/03/2015;99.204;99.296
XS1206541366;VW 3 ½ PERP;EUR;96.285;VOLKSWAGEN INTL FIN NV;Consumer, Cyclical;;3.5;BBB-;0.042120067;1400000000;Y;20/03/2030;Jr Subordinated;1;VARIABLE;20/03/2016;;20/03/2015;96.012;96.558
XS1205548164;WPPLN 1 ⅝ 03/23/30;EUR;93.506;WPP FINANCE DEUTSCHLAND;Communications;23/03/2030;1.625;BBB;0.006265143;600000000;N;;Sr Unsecured;1;FIXED;23/03/2016;23/03/2029;23/03/2015;93.283;93.73
BE6277215545;AGSBB 3 ½ 06/30/47;EUR;101.548;AG INSURANCE SA/NV;Financial;30/06/2047;3.5;A-;4.2946E-07;400000000;Y;30/06/2027;Subordinated;1;VARIABLE;30/06/2016;30/06/2046;31/03/2015;101.331;101.764
FR0012663169;VIEFP 1.59 01/10/28;EUR;98.19983;VEOLIA ENVIRONNEMENT SA;Utilities;10/01/2028;1.59;BBB;0.000200524;500000000;Y;10/10/2027;Sr Unsecured;1;FIXED;10/01/2016;10/01/2027;09/04/2015;98.071;98.329
XS1218363270;URWFP 1 ⅜ 04/15/30;EUR;93.20046;UNIBAIL-RODAMCO-WESTFLD;Financial;15/04/2030;1.375;NR;0.008889247;655000000;N;;Sr Unsecured;1;FIXED;15/04/2016;15/04/2029;15/04/2015;93.018;93.383
DE000A1ZZ028;BMW 1 04/20/27;EUR;98.046;BMW US CAPITAL LLC;Consumer, Cyclical;20/04/2027;1;A;0.042905272;500000000;N;;Sr Unsecured;1;FIXED;20/04/2016;20/04/2026;20/04/2015;97.949;98.143
XS1223837250;GIS 1 ½ 04/27/27;EUR;98.62402;GENERAL MILLS INC;Consumer, Non-cyclical;27/04/2027;1.5;BBB;7.8248E-05;400000000;Y;27/01/2027;Sr Unsecured;1;FIXED;27/04/2016;27/04/2026;27/04/2015;98.538;98.71
XS1226748512;BMY 1 ¾ 05/15/35;EUR;86.38754;BRISTOL-MYERS SQUIBB CO;Consumer, Non-cyclical;15/05/2035;1.75;A;0.000339308;575000000;Y;15/02/2035;Sr Unsecured;1;FIXED;15/05/2016;15/05/2034;05/05/2015;86.009;86.766
XS1234373733;MMM 1 ¾ 05/15/30;EUR;94.85107;3M COMPANY;Industrial;15/05/2030;1.75;BBB+;1.50941E-05;500000000;N;;Sr Unsecured;1;FIXED;15/05/2016;15/05/2029;20/05/2015;94.701;95.001
XS1234953906;ITW 2 ⅛ 05/22/30;EUR;97.014;ILLINOIS TOOL WORKS INC;Industrial;22/05/2030;2.125;A+;1.13905E-06;500000000;Y;22/02/2030;Sr Unsecured;1;FIXED;22/05/2016;22/05/2029;22/05/2015;96.87;97.158
XS1237271421;MCD 1 ⅞ 05/26/27;EUR;99.25943;MCDONALD'S CORP;Consumer, Cyclical;26/05/2027;1.875;BBB+;4.53177E-07;600000000;N;;Sr Unsecured;1;FIXED;26/05/2016;26/05/2026;26/05/2015;99.155;99.364
XS1233734562;MLFP 1 ¾ 05/28/27;EUR;99.004;CIE GENERALE DES ESTABLI;Consumer, Cyclical;28/05/2027;1.75;A;7.14317E-05;300000000;Y;28/02/2027;Sr Unsecured;1;FIXED;28/05/2016;28/05/2026;28/05/2015;98.87;99.137
XS1238902057;GE 1 ⅞ 05/28/27;EUR;99.336;GENERAL ELECTRIC CO;Industrial;28/05/2027;1.875;A-;5.11829E-06;466901000;Y;28/02/2027;Sr Unsecured;1;FIXED;28/05/2016;28/05/2026;28/05/2015;99.146;99.525
XS1240751229;LLY 2 ⅛ 06/03/30;EUR;97.78732;ELI LILLY & CO;Consumer, Non-cyclical;03/06/2030;2.125;A+;1.33291E-05;750000000;Y;03/03/2030;Sr Unsecured;1;FIXED;03/06/2016;03/06/2029;02/06/2015;97.579;97.996
XS1292389415;AAPL 2 09/17/27;EUR;99.44791;APPLE INC;Technology;17/09/2027;2;AA+;1.07934E-06;1000000000;N;;Sr Unsecured;1;FIXED;17/09/2016;17/09/2026;17/09/2015;99.33;99.566
XS1311440082;ASSGEN 5 ½ 10/27/47;EUR;105.249;GENERALI;Financial;27/10/2047;5.5;BBB+;6.64834E-07;1250000000;Y;27/10/2027;Subordinated;1;VARIABLE;27/10/2016;29/07/2047;27/10/2015;105.069;105.428
XS1327028459;MA 2.1 12/01/27;EUR;99.532;MASTERCARD INC;Financial;01/12/2027;2.1;A+;3.29152E-09;800000000;Y;01/09/2027;Sr Unsecured;1;FIXED;01/12/2016;01/12/2026;01/12/2015;99.449;99.615
BE6282460615;SYENS 2 ¾ 12/02/27;EUR;100.496;SYENSQO SA;Basic Materials;02/12/2027;2.75;BBB+;0.00023207;500000000;Y;02/09/2027;Sr Unsecured;1;FIXED;02/12/2016;02/12/2026;02/12/2015;100.364;100.629
FR0013073277;LRFP 1 ⅞ 12/16/27;EUR;99.601;LEGRAND SA;Industrial;16/12/2027;1.875;NR;6.83986E-06;355000000;Y;16/09/2027;Sr Unsecured;1;FIXED;16/12/2016;16/12/2026;16/12/2015;99.467;99.736
XS1362373224;GS 3 02/12/31;EUR;100.959;GOLDMAN SACHS GROUP INC;Financial;12/02/2031;3;A-;0.00026897;1000000000;N;;Sr Unsecured;1;FIXED;12/02/2017;12/02/2030;12/02/2016;100.763;101.156
XS1375955678;IBM 1 ¾ 03/07/28;EUR;98.37348;IBM CORP;Technology;07/03/2028;1.75;A-;1.97547E-05;500000000;N;;Sr Unsecured;1;FIXED;07/03/2017;07/03/2027;07/03/2016;98.218;98.528
XS1379122523;AMXLMM 2 ⅛ 03/10/28;EUR;99.105;AMERICA MOVIL SAB DE CV;Communications;10/03/2028;2.125;BBB+;4.0591E-05;596410000;N;;Sr Unsecured;1;FIXED;10/03/2017;10/03/2027;10/03/2016;98.853;99.356
XS1378880253;BNP 2 ⅞ 10/01/26;EUR;100.294;BNP PARIBAS;Financial;01/10/2026;2.875;BBB+;0.000632394;750000000;N;;Subordinated;1;FIXED;01/10/2016;01/10/2025;11/03/2016;100.202;100.387
XS1379184473;HSBC 2 ½ 03/15/27;EUR;100.2842;HSBC HOLDINGS PLC;Financial;15/03/2027;2.5;A-;9.28921E-05;759585000;N;;Sr Unsecured;1;FIXED;15/03/2017;15/03/2026;15/03/2016;100.163;100.405
XS1382791975;DT 1 ½ 04/03/28;EUR;97.882;DEUTSCHE TELEKOM INT FIN;Communications;03/04/2028;1.5;BBB+;0.021966191;1500000000;N;;Sr Unsecured;1;FIXED;03/04/2017;03/04/2027;23/03/2016;97.683;98.081
XS1346228577;AXASA 3 ⅜ 07/06/47;EUR;101.0985;AXA SA;Financial;06/07/2047;3.375;A;6.89119E-06;1500000000;Y;06/07/2027;Subordinated;1;VARIABLE;06/07/2016;08/04/2047;30/03/2016;100.937;101.26
FR0013143351;NK 1 ⅞ 03/31/28;EUR;97.9034;IMERYS SA;Industrial;31/03/2028;1.875;BBB-;0.0010981;300000000;Y;31/12/2027;Sr Unsecured;1;FIXED;31/03/2017;31/03/2027;01/04/2016;97.712;98.095
FR0013144003;SANFP 1 ⅛ 04/05/28;EUR;97.07899;SANOFI SA;Consumer, Non-cyclical;05/04/2028;1.125;AA-;2.18798E-05;700000000;Y;05/01/2028;Sr Unsecured;1;FIXED;05/04/2017;05/04/2027;05/04/2016;96.936;97.222
XS1319820541;FDX 1 ⅝ 01/11/27;EUR;99;FEDEX CORP;Industrial;11/01/2027;1.625;BBB;0.000548747;1250000000;Y;11/10/2026;Sr Unsecured;1;FIXED;11/01/2017;11/01/2026;11/04/2016;98.925;99.075
XS1396285279;EUROGR 1 ½ 04/18/28;EUR;97.53468;EUROGRID GMBH;Utilities;18/04/2028;1.5;NR;0.009725752;750000000;Y;18/01/2028;Sr Unsecured;1;FIXED;18/04/2017;18/04/2027;18/04/2016;97.374;97.696
XS1397134609;LIN 1 04/20/28;EUR;97.18938;LINDE FINANCE BV;Basic Materials;20/04/2028;1;A;0.063121921;750000000;N;;Sr Unsecured;1;FIXED;20/04/2017;20/04/2027;20/04/2016;96.855;97.524
DE000A180B80;ALVGR 1 ⅜ 04/21/31;EUR;93.574;ALLIANZ FINANCE II B.V.;Financial;21/04/2031;1.375;AA;4.75964E-06;750000000;Y;21/01/2031;Sr Unsecured;1;FIXED;21/04/2017;21/04/2030;21/04/2016;93.303;93.846
XS1400169931;WFC 1 ⅜ 10/26/26;EUR;99.14171;WELLS FARGO & COMPANY;Financial;26/10/2026;1.375;A;0.000286223;2000000000;N;;Sr Unsecured;1;FIXED;26/10/2016;26/10/2025;26/04/2016;99.076;99.207
XS1401196958;URWFP 1 ⅛ 04/28/27;EUR;98.16181;UNIBAIL-RODAMCO-WESTFLD;Financial;28/04/2027;1.125;NR;0.008889247;500000000;N;;Sr Unsecured;1;FIXED;28/04/2017;28/04/2026;28/04/2016;98.05;98.273
XS1401197253;URWFP 2 04/28/36;EUR;83.07794;UNIBAIL-RODAMCO-WESTFLD;Financial;28/04/2036;2;NR;0.008889247;500000000;N;;Sr Unsecured;1;FIXED;28/04/2017;28/04/2035;28/04/2016;82.75;83.406
XS1402921412;JPM 1 ½ 10/29/26;EUR;99.3032;JPMORGAN CHASE & CO;Financial;29/10/2026;1.5;A+;0.0001373;1500000000;N;;Sr Unsecured;1;FIXED;29/10/2016;29/10/2025;29/04/2016;99.234;99.372
XS1403015156;UNANA 1 ⅛ 04/29/28;EUR;96.946;UNILEVER FINANCE;Consumer, Non-cyclical;29/04/2028;1.125;A+;7.01173E-07;700000000;N;;Sr Unsecured;1;FIXED;29/04/2017;29/04/2027;29/04/2016;96.817;97.076
XS1403264291;MCD 1 ¾ 05/03/28;EUR;98.422;MCDONALD'S CORP;Consumer, Cyclical;03/05/2028;1.75;BBB+;4.53177E-07;750000000;N;;Sr Unsecured;1;FIXED;03/05/2017;03/05/2027;03/05/2016;98.303;98.54
XS1403388694;ENGSM 1 ⅜ 05/05/28;EUR;96.99312;ENAGAS FINANCIACIONES SA;Utilities;05/05/2028;1.375;BBB+;1.61394E-05;750000000;N;;Sr Unsecured;1;FIXED;05/05/2017;05/05/2027;05/05/2016;96.848;97.138
DE000A169NC2;MBGGR 1 ⅜ 05/11/28;EUR;97.315;MERCEDES-BENZ GROUP AG;Consumer, Cyclical;11/05/2028;1.375;A;0.001270443;1250000000;N;;Sr Unsecured;1;FIXED;11/05/2017;11/05/2027;11/05/2016;97.124;97.505
XS1411404426;AZN 1 ¼ 05/12/28;EUR;97.137;ASTRAZENECA PLC;Consumer, Non-cyclical;12/05/2028;1.25;A+;1.9238E-05;800000000;Y;12/02/2028;Sr Unsecured;1;FIXED;12/05/2017;12/05/2027;12/05/2016;96.984;97.29
FR0013173432;VIEFP 1 ¼ 05/19/28;EUR;96.82401;VEOLIA ENVIRONNEMENT SA;Utilities;19/05/2028;1.25;NR;0.000200524;800000000;Y;19/02/2028;Sr Unsecured;1;FIXED;19/05/2017;19/05/2027;19/05/2016;96.65;96.998
XS1412266816;JNJ 1.15 11/20/28;EUR;96.68462;JOHNSON & JOHNSON;Consumer, Non-cyclical;20/11/2028;1.15;AAA;8.96047E-08;750000000;Y;20/08/2028;Sr Unsecured;1;FIXED;20/11/2016;20/11/2027;20/05/2016;96.528;96.841
XS1412266907;JNJ 1.65 05/20/35;EUR;87.086;JOHNSON & JOHNSON;Consumer, Non-cyclical;20/05/2035;1.65;AAA;8.96047E-08;1500000000;Y;20/02/2035;Sr Unsecured;1;FIXED;20/05/2017;20/05/2034;20/05/2016;86.827;87.345
XS1405784015;KHC 2 ¼ 05/25/28;EUR;98.96035;KRAFT HEINZ FOODS CO;Consumer, Non-cyclical;25/05/2028;2.25;BBB;0.058568923;1250000000;Y;25/02/2028;Sr Unsecured;1;FIXED;25/05/2017;25/05/2027;25/05/2016;98.796;99.125
XS1419646317;BNP 1 ½ 05/25/28;EUR;97.652;BNP PARIBAS;Financial;25/05/2028;1.5;A+;0.000632394;1000000000;N;;Sr Preferred;1;FIXED;25/05/2017;25/05/2027;25/05/2016;97.508;97.795
XS1415535696;CCEP 1 ¾ 05/26/28;EUR;98.16451;COCA-COLA EUROPACIFIC;Consumer, Non-cyclical;26/05/2028;1.75;BBB+;5.8577E-06;500000000;Y;26/02/2028;Sr Unsecured;1;FIXED;26/05/2017;26/05/2027;26/05/2016;98.037;98.292
XS1420338102;HOLNSW 2 ¼ 05/26/28;EUR;99.52038;HOLCIM FINANCE LUX SA;Industrial;26/05/2028;2.25;BBB+;1.36262E-05;1150000000;Y;26/02/2028;Sr Unsecured;1;FIXED;26/05/2017;26/05/2027;26/05/2016;99.364;99.677
FR0013179314;SCOR 3 ⅝ 05/27/48;EUR;101.311;SCOR SE;Financial;27/05/2048;3.625;BBB+;4.3925E-05;500000000;Y;27/05/2028;Subordinated;1;VARIABLE;27/05/2017;27/05/2047;27/05/2016;101.06;101.563
XS1421915049;MMM 1 ½ 06/02/31;EUR;92.18;3M COMPANY;Industrial;02/06/2031;1.5;BBB+;1.50941E-05;500000000;Y;02/03/2031;Sr Unsecured;1;FIXED;02/06/2017;02/06/2030;31/05/2016;91.969;92.391
XS1428953407;HSBC 3 ⅛ 06/07/28;EUR;101.607;HSBC HOLDINGS PLC;Financial;07/06/2028;3.125;BBB+;9.28921E-05;1000000000;N;;Subordinated;1;FIXED;07/06/2017;07/06/2027;07/06/2016;101.404;101.809
